site_id,seriousness,severity,ae_n,open_follow_up_n
S001,Non-serious,Mild,10,0
S001,Non-serious,Moderate,1,0
S001,Non-serious,Severe,1,0
S002,Non-serious,Mild,4,0
S002,Non-serious,Moderate,6,0
S002,Non-serious,Severe,2,0
S002,Serious,Mild,1,1
S002,Serious,Moderate,1,0
S003,Non-serious,Mild,7,1
S003,Non-serious,Moderate,8,1
S003,Non-serious,Severe,2,0
S004,Non-serious,Mild,6,0
S004,Non-serious,Moderate,12,0
S004,Non-serious,Severe,1,0
S004,Serious,Mild,2,2
S005,Non-serious,Mild,6,0
S005,Non-serious,Moderate,4,0
S005,Non-serious,Severe,2,0
S005,Serious,Mild,2,0
S006,Non-serious,Mild,1,0
S006,Non-serious,Moderate,1,0
S006,Non-serious,Severe,1,0
